,trapEmax,t90,t10,t50
10688,-11.695714973910325,2.0,1.0,0.0
10689,-4.984339285714257,2.0,1.0,0.0
10690,-68.04823214285756,1.0,0.0,0.0
10691,21.436410714285653,809.0,85.0,38.0
10692,112.33263028830373,843.0,119.0,73.0
10693,-76.78671428571407,1.0,0.0,0.0
10694,17.440362216009465,946.0,276.0,269.0
10695,-41.76457143276253,1.0,0.0,0.0
10696,-70.29281949928976,1.0,0.0,0.0
10697,11.557271009436334,1052.0,247.0,184.0
10698,9226.607607142849,14017.0,3670.0,3669.0
10699,8668.024291002586,15486.0,10531.0,10530.0
10700,10361.967625000018,7021.0,7020.0,7018.0
10701,1810.5066504497308,3521.0,3520.0,3516.0
10702,14199.886250000021,12023.0,7792.0,7777.0
10703,103.65187500000053,796.0,127.0,81.0
10704,-21.963714615654524,2.0,1.0,0.0
10705,113.24507142857144,824.0,128.0,87.0
10706,14.571556752398454,1038.0,311.0,271.0
10707,122.93749999580895,827.0,118.0,79.0
10708,-24.35779432186499,1.0,0.0,0.0
10709,56.543632340155526,835.0,156.0,133.0
10710,-123.64972371549032,1.0,0.0,0.0
10711,12.339303571428609,782.0,133.0,94.0
10712,-33.72660714285734,2.0,1.0,0.0
10713,-20.94504738341081,2.0,1.0,0.0
10714,9226.607607142849,14017.0,3670.0,3669.0
10715,8668.024291002586,15486.0,10531.0,10530.0
10716,10361.967625000018,7021.0,7020.0,7018.0
10717,1810.5066504497308,3521.0,3520.0,3516.0
10718,14199.886250000021,12023.0,7792.0,7777.0
10719,-124.34871975423131,1.0,0.0,0.0
10720,42.75142857142844,949.0,193.0,148.0
10721,0.40692857142857725,11066.0,7560.0,7559.0
10722,15.957160710094822,819.0,71.0,27.0
10723,-84.70936727083539,1.0,0.0,0.0
10724,17.49375205185143,841.0,165.0,120.0
10725,56.94625000000006,834.0,140.0,122.0
10726,-44.554482142857644,1.0,0.0,0.0
10727,-85.9298035714286,2.0,1.0,0.0
10728,13.729571428571573,717.0,78.0,40.0
10729,138.54858928152257,821.0,129.0,86.0
10730,-108.34926785714288,1.0,0.0,0.0
10731,100.53984646355268,848.0,140.0,100.0
10732,-37.23219642857146,2.0,1.0,0.0
10733,109.09373360815351,833.0,130.0,86.0
10734,-103.38077702069559,2.0,1.0,0.0
10735,-107.3361964285714,1.0,0.0,0.0
10736,31.990750000000016,938.0,160.0,138.0
10737,29.06220143198835,843.0,89.0,41.0
10738,-48.09467857142883,1.0,0.0,0.0
10739,75.45179232930988,835.0,127.0,98.0
10740,55.786857138666214,881.0,138.0,103.0
10741,-18.532535714285714,2.0,1.0,0.0
10742,-15.570267857142698,2.0,1.0,0.0
10743,75.91144642857122,848.0,125.0,123.0
10744,-39.20062500419093,1.0,0.0,0.0
10745,-69.70669642857192,2.0,1.0,0.0
10746,9226.607607142849,14017.0,3670.0,3669.0
10747,8668.024291002586,15486.0,10531.0,10530.0
10748,10361.967625000018,7021.0,7020.0,7018.0
10749,1810.5066504497308,3521.0,3520.0,3516.0
10750,14199.886250000021,12023.0,7792.0,7777.0
10751,32.55271428152321,875.0,105.0,53.0
10752,-20.206178571432417,3866.0,3865.0,3864.0
10753,-32.955625000000026,2.0,1.0,0.0
10754,62.26316071428566,870.0,158.0,126.0
10755,33.87075000000003,926.0,175.0,140.0
10756,2.7835714285714293,4810.0,4769.0,4589.0
10757,-3.383165018075443,2.0,1.0,0.0
10758,-7.4798035714285325,2.0,1.0,0.0
10759,49.441699102475354,850.0,140.0,103.0
10760,-37.547089285714506,1.0,0.0,0.0
10761,63.59528436376682,855.0,128.0,126.0
10762,-20.015142861333793,2.0,1.0,0.0
10763,7.858964285714359,1033.0,49.0,11.0
10764,-88.57050000000024,1.0,0.0,0.0
10765,-130.61685714285755,1.0,0.0,0.0
10766,23.193875000000023,911.0,107.0,67.0
10767,47.62739285714256,824.0,115.0,69.0
10768,-38.204335544414576,2.0,1.0,0.0
10769,12.763875000000102,795.0,78.0,42.0
10770,-0.5948214285714084,21.0,20.0,19.0
10771,50.343928571428265,832.0,111.0,69.0
10772,-14.539982142857053,2.0,1.0,0.0
10773,35.158785710094556,833.0,127.0,77.0
10774,9226.607607142849,14017.0,3670.0,3669.0
10775,8668.024291002586,15486.0,10531.0,10530.0
10776,10361.967625000018,7021.0,7020.0,7018.0
10777,1810.5066504497308,3521.0,3520.0,3516.0
10778,14199.886250000021,12023.0,7792.0,7777.0
10779,24.9625226600927,891.0,186.0,169.0
10780,-55.59258928990528,2.0,1.0,0.0
10781,37.50466071428579,772.0,116.0,110.0
10782,0.78960096212276,11935.0,10463.0,10462.0
10783,117.72917857142863,832.0,138.0,96.0
10784,90.2397321386659,861.0,148.0,110.0
10785,-118.40075459369567,1.0,0.0,0.0
10786,42.58403309994396,859.0,160.0,119.0
10787,-105.25659871549088,1.0,0.0,0.0
10788,-3.414434082108432,2.0,1.0,0.0
10789,72.44933928571453,847.0,133.0,109.0
10790,68.10816316214755,851.0,129.0,87.0
10791,67.32374999580922,849.0,146.0,110.0
10792,-135.02037500000048,2.0,1.0,0.0
10793,-51.07330357142887,2.0,1.0,0.0
10794,17.26587692928161,780.0,75.0,29.0
10795,64.9825017412333,820.0,139.0,103.0
10796,-29.141696428571727,1.0,0.0,0.0
10797,-40.01699999999999,1.0,0.0,0.0
10798,3.8212142857142806,6125.0,6097.0,5871.0
10799,9226.607607142849,14017.0,3670.0,3669.0
10800,8668.024291002586,15486.0,10531.0,10530.0
10801,10361.967625000018,7021.0,7020.0,7018.0
10802,1810.5066504497308,3521.0,3520.0,3516.0
10803,14199.886250000021,12023.0,7792.0,7777.0
10804,-10.30851785714281,1.0,0.0,0.0
10805,27.881206525511903,884.0,141.0,105.0
10806,68.25858928571397,823.0,130.0,95.0
10807,-3.4956964285714087,2.0,1.0,0.0
10808,19.6575535714284,827.0,98.0,55.0
10809,9.534936483557031,1159.0,445.0,291.0
10810,-54.4447142857147,1.0,0.0,0.0
10811,-24.851785714285842,2.0,1.0,0.0
10812,60.56305357142838,801.0,148.0,119.0
10813,72.58935713866583,849.0,141.0,111.0
10814,5.739828341396492,421.0,114.0,74.0
10815,-27.17530651571059,2.0,1.0,0.0
10816,-68.28629427681227,1.0,0.0,0.0
10817,-51.133339289905614,2.0,1.0,0.0
10818,5.089928571428572,837.0,221.0,149.0
10819,114.90396428571395,838.0,124.0,85.0
10820,27.27487500000009,895.0,195.0,167.0
10821,-22.919195580487965,2.0,1.0,0.0
10822,33.505035714285704,881.0,153.0,119.0
10823,-63.67500000000048,2.0,1.0,0.0
10824,-50.19282382295324,2.0,1.0,0.0
10825,-32.88978571428576,1.0,0.0,0.0
10826,51.272887246181966,851.0,160.0,114.0
10827,-55.639464285714304,2.0,1.0,0.0
10828,-133.20208821528473,1.0,0.0,0.0
10829,68.97716071428589,866.0,127.0,84.0
10830,52.68596428571456,820.0,114.0,66.0
10831,-16.305162266167137,2.0,1.0,0.0
